,Location,Price,Descr,Link,superficieutil,habitacionamueblada,numbanos,estadoconservacion,gastosincluidosalquiler,area,numhabitaciones
236,Olesa de Montserrat,350,Es una habitación doble exterior disponible a partir del dia 12-09-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-olesa_de_montserrat_centro_urbano-945856909689220_109600/,145,Amueblada,2,0,0,habitaciones-barcelona,3
237,Lluminetes (Castelldefels),500,Es una habitación individual exterior disponible a partir del dia 30-09-2019. La duración mínima del contrato es...,/alquilar/habitacion-lluminetes-945856909664846_109600/,120,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
238,Caputxins-Santa Clara-Hospital (Vic),330,Es una habitación individual exterior disponible a partir del dia 14-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-caputxins_santa_clara_hospital-945856909698094_109600/,120,Amueblada,2,: En buen estado,0,habitaciones-barcelona,5
239,Sant Adrià de Besòs,380,"Es una habitación individual  disponible a partir del dia 01-11-2019. El tamaño de la habitación es mediana,  co...",/alquilar/habitacion-sant_adria_de_besos_centro_urbano-945856909700203_109600/,120,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
240,Sant Vicenç de Montalt,450,Es una habitación doble  disponible a partir del dia 01-11-2019. La duración mínima del contrato es Más de 5 mes...,/alquilar/habitacion-sant_vicenc_de_montalt_centro_urbano-945856909701904_109600/,50,Amueblada,2,0,0,habitaciones-barcelona,3
241,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),600,Es una habitación individual  disponible a partir del dia 05-08-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-antiga_esquerra_de_eixample08011-945856909678604_109600/,120,Amueblada,2,0,0,habitaciones-barcelona,4
242,Sant Antoni (Distrito Eixample. Barcelona Capital),600,Es una habitación doble  disponible a partir del dia 30-11-2018. La duración mínima del contrato es 1 mes. El ta...,/alquilar/habitacion-eixample_sant_antoni08015-945856909701299_109600/,86,Amueblada,1,0,0,habitaciones-barcelona,3
243,El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital),580,Es una habitación doble exterior disponible a partir del dia 04-09-2019. La duración mínima del contrato es 1 me...,/alquilar/habitacion-el_putxet_el_farro08023-945856909686711_109600/,120,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
244,Sant Pere Nord (Distrito Sant Pere Nord-Ègara. Terrassa),340,"Es una habitación doble exterior disponible a partir del dia 01-10-2019. El tamaño de la habitación es grande,  ...",/alquilar/habitacion-sant_pere_nord08226-945856909689851_109600/,100,Amueblada,1,: En buen estado,0,habitaciones-barcelona,4
245,Sants-Badal (Distrito Sants-Montjuïc. Barcelona Capital),360,Es una habitación individual exterior disponible a partir del dia 01-07-2019. La duración mínima del contrato es...,/alquilar/habitacion-sants_badal-945856909658751_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
246,Les Termes (Sabadell),280,Es una habitación individual  disponible a partir del dia 25-08-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-creu_de_barbera_santa_pau_sud08204-945856909683909_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,2
247,Caldes de Montbui,350,Es una habitación individual exterior disponible a partir del dia 08-11-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-caldes_de_montbui_centro_urbano-945856909700659_109600/,120,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
248,El Guinardó (Distrito Horta-Guinardó. Barcelona Capital),450,Es una habitación individual exterior disponible a partir del dia 31-07-2019. La duración mínima del contrato es...,/alquilar/habitacion-el_guinardo08041-945856909676822_109600/,100,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
249,La Farigola-Fontetes (Cerdanyola del Vallès),500,Es una habitación doble exterior disponible a partir del dia 25-11-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-la_farigola_fontetes-945856909703156_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,2
250,Bellvitge-El Gornal (L'Hospitalet de Llobregat),480,Es una habitación doble exterior disponible a partir del dia 27-10-2019. La duración mínima del contrato es 3 me...,/alquilar/habitacion-bellvitge_el_gornal08907-945856909659049_109600/,72,Amueblada,1,0,0,habitaciones-barcelona,3
251,Centre (Sant Cugat del Vallès),450,Es una habitación individual  disponible a partir del dia 20-06-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-sant_cugat_del_valles_centre08172-945856909663661_109600/,105,Amueblada,2,: A estrenar,0,habitaciones-barcelona,4
252,La Bordeta (Distrito Sants-Montjuïc. Barcelona Capital),360,Es una habitación individual  disponible a partir del dia 01-11-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-sants_montjuic_la_bordeta08014-945856909696706_109600/,60,Amueblada,1,: En buen estado,0,habitaciones-barcelona,2
253,Bellvitge-El Gornal (L'Hospitalet de Llobregat),450,Es una habitación individual exterior disponible a partir del dia 27-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-bellvitge_el_gornal08907-945856909702825_109600/,68,Amueblada,2,0,0,habitaciones-barcelona,4
254,Cerdanyola (Mataró),270,Es una habitación individual exterior disponible a partir del dia 27-04-2017. El tamaño de la habitación es medi...,/alquilar/habitacion-cerdanyola08303-945856909689530_109600/,180,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
255,La Teixonera (Distrito Horta-Guinardó. Barcelona Capital),340,"1 Habitación (chica estudiante), ideal para estudiantes Campus Mundet, Psicología, Pedagogía. A 5 minutos Hosp. ...",/alquilar/habitacion-la_teixonera08035-945856909677436_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-barcelona,3
256,El Guinardó (Distrito Horta-Guinardó. Barcelona Capital),450,Es una habitación individual exterior disponible a partir del dia 28-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-el_guinardo08041-945856909702852_109600/,65,Amueblada,1,0,0,habitaciones-barcelona,1
257,Navas (Distrito Sant Andreu. Barcelona Capital),350,"Es una habitación doble  disponible a partir del dia 13-08-2019. El tamaño de la habitación es grande,  con fian...",/alquilar/habitacion-sant_andreu_navas08027-945856909680772_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
258,El Baix Guinardó (Distrito Horta-Guinardó. Barcelona Capital),350,Es una habitación doble exterior disponible a partir del dia 28-10-2019. La duración mínima del contrato es 2 me...,/alquilar/habitacion-el_baix_guinardo08025-945856909670345_109600/,94,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
259,L'Eixample Centre-Barri Antic (Viladecans),400,"Es una habitación doble exterior disponible a partir del dia 15-10-2019. El tamaño de la habitación es mediana, ...",/alquilar/habitacion-eixample_centre_barri_antic-945856909695708_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-barcelona,2
260,Bellvitge-El Gornal (L'Hospitalet de Llobregat),350,Es una habitación individual exterior disponible a partir del dia 10-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-bellvitge_el_gornal08907-945856909695390_109600/,80,Amueblada,1,: En buen estado,0,habitaciones-barcelona,4
261,La Verneda-La Pau (Distrito Sant Martí. Barcelona Capital),585,Es una habitación doble exterior disponible a partir del dia 01-11-2019. La duración mínima del contrato es 3 me...,/alquilar/habitacion-sant_marti_la_verneda_la_pau08020-945856909699975_109600/,120,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
262,Esplugues de Llobregat,450,"Es una habitación doble exterior disponible a partir del dia 01-10-2019. El tamaño de la habitación es mediana, ...",/alquilar/habitacion-esplugues_de_llobregat_centro_urbano08950-945856909695388_109600/,95,Amueblada,1,: En buen estado,0,habitaciones-barcelona,4
263,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),600,Es una habitación doble exterior disponible a partir del dia 18-11-2019. La duración mínima del contrato es 3 me...,/alquilar/habitacion-el_barri_gotic08002-945856909702191_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,2
264,Corbera de Llobregat,330,"Habitación exclusiva. Calidad de vida y naturaleza. Amplia, equipada y exterior: 1 cama individual amplia ,vario...",/alquilar/habitacion-corbera_de_llobregat_centro_urbano-945856909634206_109600/,140,Amueblada,1,0,0,habitaciones-barcelona,3
265,Malgrat de Mar,350,Es una habitación individual exterior disponible a partir del dia 25-10-2019. El tamaño de la habitación es gran...,/alquilar/habitacion-malgrat_de_mar_centro_urbano-945856909695715_109600/,110,Amueblada,2,: En buen estado,0,habitaciones-barcelona,3
266,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),425,Apartamento grande y espacioso con 2 balcones. Gran Salón. A compartir con estudiantes y master students. Se alq...,/alquilar/habitacion-antiga_esquerra_de_eixample08011-945856909613174_109600/,130,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
267,La Sagrada Família (Distrito Eixample. Barcelona Capital),430,Es una habitación individual  disponible a partir del dia 01-12-2019. La duración mínima del contrato es 3 meses...,/alquilar/habitacion-la_sagrada_familia08025-945856909695966_109600/,80,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
268,El Besòs-El Maresme (Distrito Sant Martí. Barcelona Capital),450,Es una habitación individual exterior disponible a partir del dia 20-08-2019. La duración mínima del contrato es...,/alquilar/habitacion-el_besos_el_maresme08019-945856909678264_109600/,96,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
269,Can Deu (Distrito Can Deu-La Plana del Pintor. Sabadell),270,Es una habitación individual exterior disponible a partir del dia 01-12-2019. La duración mínima del contrato es...,/alquilar/habitacion-can_deu08207-945856909702553_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
270,Sants-Badal (Distrito Sants-Montjuïc. Barcelona Capital),375,Es una habitación doble exterior disponible a partir del dia 31-10-2019. La duración mínima del contrato es 4 Me...,/alquilar/habitacion-sants_badal-945856909701293_109600/,80,Amueblada,1,0,0,habitaciones-barcelona,3
271,Porta (Distrito Nou Barris. Barcelona Capital),350,Es una habitación individual  disponible a partir del dia 01-11-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-nou_barris_porta08016-945856909696713_109600/,65,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
272,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),370,Es una habitación individual exterior disponible a partir del dia 30-12-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-la_dreta_de_eixample08009-945856909606999_109600/,90,Amueblada,1,: En buen estado,0,habitaciones-barcelona,5
273,La Sagrada Família (Distrito Eixample. Barcelona Capital),790,Es una habitación individual exterior disponible a partir del dia 15-06-2018. La duración mínima del contrato es...,/alquilar/habitacion-la_sagrada_familia08013-945856909699970_109600/,85,Amueblada,1,0,0,habitaciones-barcelona,3
274,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),425,Es una habitación individual exterior disponible a partir del dia 01-11-2019. El tamaño de la habitación es pequ...,/alquilar/habitacion-la_nova_esquerra_de_eixample08015-945856909703160_109600/,80,Amueblada,2,: En buen estado,0,habitaciones-barcelona,3
275,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),900,Es una habitación doble exterior disponible a partir del dia 01-10-2019. La duración mínima del contrato es 1 me...,/alquilar/habitacion-la_dreta_de_eixample08007-945856909690477_109600/,160,Amueblada,3,0,0,habitaciones-barcelona,6
276,Sant Pere (Distrito Sant Pere-Zona Esportiva. Terrassa),330,Es una habitación doble exterior disponible a partir del dia 28-10-2019. La duración mínima del contrato es 3 me...,/alquilar/habitacion-nord_oest_sant_pere08225-945856909630638_109600/,115,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
277,La Sagrada Família (Distrito Eixample. Barcelona Capital),420,Es una habitación doble  disponible a partir del dia 01-11-2019. La duración mínima del contrato es 5 Meses. El ...,/alquilar/habitacion-la_sagrada_familia08013-945856909702547_109600/,90,Amueblada,1,: En buen estado,0,habitaciones-barcelona,1
278,Espronceda (Distrito Espronceda-Campoamor. Sabadell),250,Es una habitación individual  disponible a partir del dia 01-10-2019. La duración mínima del contrato es 1 mes. ...,/alquilar/habitacion-creu_de_barbera_santa_pau_sud08204-945856909695712_109600/,90,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
279,La Garriga,350,"Busco alguien para compartir piso de 90 m2 en LA GARRIGA, con sala comedor, cocina, 3 dormitorios y 2 baños. Alq...",/alquilar/habitacion-la_garriga_centro_urbano-945856909676755_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-barcelona,3
280,Sant Llorenç Savall,300,Es una habitación doble exterior disponible a partir del dia 15-11-2019. La duración mínima del contrato es 2 me...,/alquilar/habitacion-sant_llorenc_savall_centro_urbano-945856909702558_109600/,270,Amueblada,2,: En buen estado,0,habitaciones-barcelona,1
281,La Maternitat-Sant Ramon (Distrito Les Corts. Barcelona Capital),300,Es una habitación individual  disponible a partir del dia 31-10-2019. La duración mínima del contrato es 4 Meses...,/alquilar/habitacion-la_maternitat_sant_ramon08028-945856909629166_109600/,80,Amueblada,1,0,0,habitaciones-barcelona,3
282,El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital),365,Es una habitación individual exterior disponible a partir del dia 01-11-2019. La duración mínima del contrato es...,/alquilar/habitacion-el_camp_en_grassot_gracia_nova08025-945856909702407_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
283,El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital),450,Es una habitación individual  disponible a partir del dia 27-09-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-el_putxet_el_farro08023-945856909688770_109600/,60,Amueblada,1,: En buen estado,0,habitaciones-barcelona,2
284,El Coll (Distrito Gràcia. Barcelona Capital),800,Es una habitación doble  disponible a partir del dia 03-02-2020. La duración mínima del contrato es 1 mes. El ta...,/alquilar/habitacion-el_coll08023-945856909088769_109600/,333,Amueblada,5,: En buen estado,0,habitaciones-barcelona,6
285,El Camp de l'Arpa del Clot (Distrito Sant Martí. Barcelona Capital),390,Es una habitación individual exterior disponible a partir del dia 07-10-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-el_camp_de_arpa_del_clot08026-945856909697238_109600/,90,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
286,Bellvitge-El Gornal (L'Hospitalet de Llobregat),420,Es una habitación individual exterior disponible a partir del dia 27-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-bellvitge_el_gornal08907-945856909702824_109600/,68,Amueblada,2,0,0,habitaciones-barcelona,4
287,Hostafrancs (Distrito Sants-Montjuïc. Barcelona Capital),430,Es una habitación doble  disponible a partir del dia 28-10-2019. La duración mínima del contrato es Más de 5 mes...,/alquilar/habitacion-sants_montjuic_hostafrancs08014-945856909702846_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
288,La Sagrada Família (Distrito Eixample. Barcelona Capital),420,"Gastos incluidos (agua / gas / electricidad)Lavadora, 2 aseos. Cocina equipada 5º piso con ascensor, zona ...",/alquilar/habitacion-la_sagrada_familia08025-945856909682828_109600/,75,Amueblada,2,: En buen estado,0,habitaciones-barcelona,3
289,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),550,Es una habitación doble  disponible a partir del dia 01-11-2019. La duración mínima del contrato es Más de 5 mes...,/alquilar/habitacion-el_barri_gotic08002-945856909698539_109600/,100,Amueblada,1,: En buen estado,0,habitaciones-barcelona,2
290,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),750,Es una habitación doble  disponible a partir del dia 01-11-2019. La duración mínima del contrato es Más de 5 mes...,/alquilar/habitacion-antiga_esquerra_de_eixample08036-945856909698327_109600/,210,Amueblada,5,: A estrenar,0,habitaciones-barcelona,5
291,El Raval (Distrito Ciutat Vella. Barcelona Capital),590,Es una habitación individual exterior disponible a partir del dia 04-11-2019. La duración mínima del contrato es...,/alquilar/habitacion-el_raval08001-945856909701642_109600/,52,Amueblada,1,: En buen estado,0,habitaciones-barcelona,2
292,Serraparrera (Cerdanyola del Vallès),320,Es una habitación doble exterior disponible a partir del dia 01-10-2018. La duración mínima del contrato es Más ...,/alquilar/habitacion-serraparrera08290-945856909678914_109600/,90,Amueblada,1,: En buen estado,0,habitaciones-barcelona,4
293,Vista Alegre-Can Vinader (Castelldefels),450,Es una habitación individual exterior disponible a partir del dia 14-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-vista_alegre_can_vinader-945856909698795_109600/,120,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
294,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),640,Es una habitación individual exterior disponible a partir del dia 30-09-2019. La duración mínima del contrato es...,/alquilar/habitacion-la_vila_de_gracia08012-945856909642297_109600/,115,Amueblada,3,0,0,habitaciones-barcelona,5
295,La Farigola-Fontetes (Cerdanyola del Vallès),500,Es una habitación doble exterior disponible a partir del dia 25-11-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-la_farigola_fontetes-945856909703155_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,2
296,Marianao (Sant Boi de Llobregat),350,Es una habitación individual  disponible a partir del dia 01-11-2019. La duración mínima del contrato es 1 mes. ...,/alquilar/habitacion-marianao-945856909696286_109600/,90,Amueblada,1,0,0,habitaciones-barcelona,1
297,Torrelles de Llobregat,300,Es una habitación individual exterior disponible a partir del dia 12-09-2018. La duración mínima del contrato es...,/alquilar/habitacion-torrelles_de_llobregat_centro_urbano-945856909670705_109600/,200,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
298,Sant Cosme-La Granja (El Prat de Llobregat),450,Es una habitación doble exterior disponible a partir del dia 01-11-2019. La duración mínima del contrato es 3 me...,/alquilar/habitacion-sant_cosme_la_granja-945856909701647_109600/,95,Amueblada,1,0,0,habitaciones-barcelona,3
299,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),380,Es una habitación individual exterior disponible a partir del dia 30-10-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-sant_gervasi_galvany08006-945856909702566_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,1
300,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),375,Es una habitación doble  disponible a partir del dia 30-10-2019. La duración mínima del contrato es 1 mes. La du...,/alquilar/habitacion-la_nova_esquerra_de_eixample08015-945856909699082_109600/,70,Amueblada,1,0,0,habitaciones-barcelona,3
301,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),380,Es una habitación individual  disponible a partir del dia 30-09-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-el_barri_gotic08002-945856909662137_109600/,100,Amueblada,1,0,0,habitaciones-barcelona,5
302,Sant Antoni (Distrito Eixample. Barcelona Capital),450,Es una habitación doble  disponible a partir del dia 01-10-2019. La duración mínima del contrato es Más de 5 mes...,/alquilar/habitacion-eixample_sant_antoni08015-945856909677119_109600/,115,0,2,: En buen estado,0,habitaciones-barcelona,3
303,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),790,Es una habitación doble exterior disponible a partir del dia 01-05-2019. La duración mínima del contrato es 1 me...,/alquilar/habitacion-la_vila_de_gracia08012-945856909642298_109600/,115,Amueblada,3,0,0,habitaciones-barcelona,5
304,Centre (Granollers),350,Es una habitación doble  disponible a partir del dia 01-11-2019. La duración mínima del contrato es Más de 5 mes...,/alquilar/habitacion-granollers_centre08402-945856909702402_109600/,100,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
305,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),850,Es una habitación doble  disponible a partir del dia 01-11-2019. La duración mínima del contrato es Más de 5 mes...,/alquilar/habitacion-antiga_esquerra_de_eixample08036-945856909698326_109600/,210,Amueblada,5,: A estrenar,0,habitaciones-barcelona,5
306,El Carmel (Distrito Horta-Guinardó. Barcelona Capital),390,Habitación muy agradable en Barcelona ciudad en un piso a compartir con otro chico. Habitación con cama individu...,/alquilar/habitacion-el_carmel08032-945856909668369_109600/,95,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
307,Sant Martí de Provençals (Distrito Sant Martí. Barcelona Capital),565,"Hola!!! Alquilo habitación en piso compartido, la misma esta amueblada  con  armario  empotrado, cama  y  me...",/alquilar/habitacion-sant_marti_de_provencals08020-945856909699966_109600/,120,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
308,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),590,Es una habitación individual exterior disponible a partir del dia 21-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-sant_pere_santa_caterina_la_ribera08003-945856909700652_109600/,120,Amueblada,2,0,0,habitaciones-barcelona,4
309,Sants (Distrito Sants-Montjuïc. Barcelona Capital),450,Es una habitación individual exterior disponible a partir del dia 01-01-2020. La duración mínima del contrato es...,/alquilar/habitacion-sants_montjuic_sants08028-945856909697254_109600/,60,Amueblada,1,0,0,habitaciones-barcelona,2
310,Ca n'Aurell (Terrassa),300,Es una habitación individual exterior disponible a partir del dia 25-03-2019. La duración mínima del contrato es...,/alquilar/habitacion-ca_naurell08224-945856909697539_109600/,150,Amueblada,2,0,0,habitaciones-barcelona,1
311,Palafolls,250,Es una habitación individual exterior disponible a partir del dia 01-10-2019. El tamaño de la habitación es gran...,/alquilar/habitacion-palafolls_centro_urbano-945856909690517_109600/,130,Amueblada,1,: En buen estado,0,habitaciones-barcelona,1
312,Centre (Sant Cugat del Vallès),500,Es una habitación doble exterior disponible a partir del dia 20-06-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-sant_cugat_del_valles_centre08172-945856909695684_109600/,105,Amueblada,2,: A estrenar,0,habitaciones-barcelona,4
313,Sants (Distrito Sants-Montjuïc. Barcelona Capital),390,Es una habitación doble exterior disponible a partir del dia 28-10-2019. La duración mínima del contrato es 3 me...,/alquilar/habitacion-sants_montjuic_sants08028-945856909702850_109600/,120,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
314,Dosrius,400,Es una habitación individual exterior disponible a partir del dia 20-05-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-dosrius_centro_urbano-945856909700188_109600/,70,Amueblada,1,: A estrenar,0,habitaciones-barcelona,2
315,La Geltrú-Casernes-L'Armanyà (Vilanova i la Geltrú),350,"Es una habitación doble exterior disponible a partir del dia 09-01-2017. El tamaño de la habitación es grande,  ...",/alquilar/habitacion-la_geltru_casernes_armanya-945856909689528_109600/,100,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
316,Escodines (Manresa),250,Es una habitación doble exterior disponible a partir del dia 28-10-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-escodines08241-945856909702560_109600/,120,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
317,El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital),790,Es una habitación doble exterior disponible a partir del dia 26-08-2019. La duración mínima del contrato es 3 me...,/alquilar/habitacion-el_camp_en_grassot_gracia_nova08025-945856909678271_109600/,95,Amueblada,2,: A estrenar,0,habitaciones-barcelona,3
318,Sant Joan Despí,400,Es una habitación doble  disponible a partir del dia 21-10-2019. La duración mínima del contrato es 3 meses. El ...,/alquilar/habitacion-sant_joan_despi_centro_urbano08970-945856909701326_109600/,110,Amueblada,2,: En buen estado,0,habitaciones-barcelona,3
319,La Concòrdia (Sabadell),300,Es una habitación individual exterior disponible a partir del dia 01-01-2020. La duración mínima del contrato es...,/alquilar/habitacion-concordia_can_rull_berardo08206-945856909689533_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
320,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),275,"Master/student apartment: 3 rooms to rent in a charming apartment. Room of 250 euros. Furnished with big bed, cl...",/alquilar/habitacion-sant_gervasi_galvany08006-945856908750992_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-barcelona,4
321,Vilassar de Mar,320,Es una habitación individual exterior disponible a partir del dia 28-03-2016. El tamaño de la habitación es medi...,/alquilar/habitacion-vilassar_de_mar_centro_urbano-945856909702171_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-barcelona,4
322,Centre (El Prat de Llobregat),400,Es una habitación doble exterior disponible a partir del dia 01-11-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-el_prat_de_llobregat_centre-945856909700007_109600/,120,Amueblada,1,0,0,habitaciones-barcelona,4
323,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),280,"Se alquila  preciosa habitación Interior con ventana, muy ventilada   Totalmente amoblada (escritorio, cama ...",/alquilar/habitacion-la_vila_de_gracia08012-945856909697531_109600/,60,Amueblada,1,0,0,habitaciones-barcelona,4
324,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),950,Es una habitación doble exterior disponible a partir del dia 01-07-2019. La duración mínima del contrato es 1 me...,/alquilar/habitacion-la_vila_de_gracia08012-945856909642300_109600/,115,Amueblada,3,0,0,habitaciones-barcelona,5
325,La Bordeta (Distrito Sants-Montjuïc. Barcelona Capital),550,"Es una habitación individual  disponible a partir del dia 09-09-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-sants_montjuic_la_bordeta08014-945856909678251_109600/,80,Amueblada,2,0,0,habitaciones-barcelona,3
326,Sant Martí de Provençals (Distrito Sant Martí. Barcelona Capital),565,Es una habitación doble exterior disponible a partir del dia 01-03-2019. La duración mínima del contrato es 3 me...,/alquilar/habitacion-sant_marti_de_provencals08020-945856909699972_109600/,120,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
327,Sant Andreu de La Barca,330,Es una habitación individual exterior disponible a partir del dia 15-08-2019. El tamaño de la habitación es gran...,/alquilar/habitacion-sant_andreu_de_la_barca_centro_urbano-945856909678564_109600/,100,Amueblada,2,0,0,habitaciones-barcelona,4
328,Centre (Sant Cugat del Vallès),500,"Es una habitación individual  disponible a partir del dia 20-06-2019. El tamaño de la habitación es grande,  con...",/alquilar/habitacion-sant_cugat_del_valles_centre08172-945856909663663_109600/,105,Amueblada,2,: A estrenar,0,habitaciones-barcelona,4
329,La Bordeta (Distrito Sants-Montjuïc. Barcelona Capital),550,"Es una habitación individual  disponible a partir del dia 09-09-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-sants_montjuic_la_bordeta08014-945856909678252_109600/,80,Amueblada,2,0,0,habitaciones-barcelona,3
330,El Coll (Distrito Gràcia. Barcelona Capital),700,Es una habitación doble exterior disponible a partir del dia 02-12-2019. La duración mínima del contrato es 1 me...,/alquilar/habitacion-el_coll08023-945856909088766_109600/,333,Amueblada,5,: En buen estado,0,habitaciones-barcelona,6
331,Barceloneta (Vilafranca del Penedès),350,Es una habitación individual exterior disponible a partir del dia 14-09-2019. La duración mínima del contrato es...,/alquilar/habitacion-barceloneta-945856909690730_109600/,67,Amueblada,1,: A estrenar,0,habitaciones-barcelona,2
332,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),590,Es una habitación individual exterior disponible a partir del dia 01-11-2019. El tamaño de la habitación es gran...,/alquilar/habitacion-el_barri_gotic08002-945856909698811_109600/,120,Amueblada,1,: En buen estado,0,habitaciones-barcelona,1
333,Sant Antoni (Distrito Eixample. Barcelona Capital),450,Es una habitación individual  disponible a partir del dia 02-10-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-eixample_sant_antoni08015-945856909680154_109600/,85,Amueblada,1,: En buen estado,0,habitaciones-barcelona,1
334,Les Corts (Distrito Les Corts. Barcelona Capital),450,Es una habitación individual exterior disponible a partir del dia 31-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-les_corts_barrio08014-945856909694044_109600/,120,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
335,El Carmel (Distrito Horta-Guinardó. Barcelona Capital),390,Es una habitación individual  disponible a partir del dia 05-07-2017. La duración mínima del contrato es 3 meses...,/alquilar/habitacion-el_carmel08032-945856909593180_109600/,100,Amueblada,1,: En buen estado,0,habitaciones-barcelona,3
