|Descr|Edad mínima|Género|Link|Location|Número de inquilinos|Price|area|estadoconservacion|gastosincluidosenalquiler|gastosincluidosenalquiler |habitacionamueblada|numbanos|numhabitaciones|superficieutil
470|Es una habitación individual  disponible a partir del dia 11-11-2019. La duración mínima del contrato es Más de ...|25||/alquilar/habitacion-el_clot08018-945856909705764_109600/|El Clot (Distrito Sant Martí. Barcelona Capital)|1|380|barcelona|En buen estado|0.0||Amueblada|1|1|75
471|Es una habitación doble exterior disponible a partir del dia 08-11-2019. La duración mínima del contrato es 5 Me...|23|Chicas|/alquilar/habitacion-nou_barris_porta08016-945856909706003_109600/|Porta (Distrito Nou Barris. Barcelona Capital)|1|460|barcelona|0|0.0||Amueblada|1|2|85
472|Es una habitación individual  disponible a partir del dia 06-11-2019. La duración mínima del contrato es 5 Meses...|25||/alquilar/habitacion-la_nova_esquerra_de_eixample08029-945856909704974_109600/|La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital)|2|480|barcelona|0|0.0||Amueblada|2|3|120
473|Es una habitación doble exterior disponible a partir del dia 31-08-2019. El tamaño de la habitación es grande,  ...|18||/alquilar/habitacion-sants_badal-945856909685948_109600/|Sants-Badal (Distrito Sants-Montjuïc. Barcelona Capital)|3|400|barcelona|A estrenar|0.0||Amueblada|2|4|105
474|Es una habitación individual  disponible a partir del dia 05-11-2019. La duración mínima del contrato es 3 meses...|18||/alquilar/habitacion-les_termes08204-945856909699109_109600/|Les Termes (Sabadell)|4|350|barcelona|En buen estado|0.0||Amueblada|1|1|0
475|Es una habitación individual  disponible a partir del dia 11-11-2019. La duración mínima del contrato es Más de ...|28|Chicas|/alquilar/habitacion-antiga_esquerra_de_eixample08036-945856909706222_109600/|L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital)|4|390|barcelona|En buen estado|0.0||Amueblada|2|4|80
476|Es una habitación individual exterior disponible a partir del dia 08-11-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-el_raval08001-945856909705988_109600/|El Raval (Distrito Ciutat Vella. Barcelona Capital)|6|550|barcelona|0|0.0||Amueblada|4|7|250
477|"Ya ha sido ALQUILADA! Gracias!Alquilo una habitación doble en mi piso (solamente vivo yo) . El piso se encuent..."|30||/alquilar/habitacion-la_sagrada_familia08025-945856909686696_109600/|La Sagrada Família (Distrito Eixample. Barcelona Capital)|1|650|barcelona|En buen estado|0.0||Amueblada|1|2|80
478|Es una habitación individual  disponible a partir del dia 01-07-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-sant_gervasi_galvany08006-945856909664450_109600/|Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital)|2|800|barcelona|En buen estado|0.0||Amueblada|1|2|110
479|Es una habitación individual exterior disponible a partir del dia 01-10-2019. El tamaño de la habitación es gran...|18||/alquilar/habitacion-palafolls_centro_urbano-945856909690517_109600/|Palafolls|1|250|barcelona|En buen estado|0.0||Amueblada|1|1|130
480|Es una habitación doble  disponible a partir del dia 01-12-2019. La duración mínima del contrato es 4 Meses. El ...|35||/alquilar/habitacion-sant_pere_santa_caterina_la_ribera08003-945856909705488_109600/|Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital)|1|700|barcelona|En buen estado|0.0||Amueblada|1|2|90
481|Es una habitación individual exterior disponible a partir del dia 14-09-2019. La duración mínima del contrato es...|30|Chicos|/alquilar/habitacion-barceloneta-945856909690730_109600/|Barceloneta (Vilafranca del Penedès)|1|350|barcelona|A estrenar|0.0||Amueblada|1|2|67
482|Es una habitación doble  disponible a partir del dia 28-10-2019. La duración mínima del contrato es Más de 5 mes...|25||/alquilar/habitacion-sants_montjuic_hostafrancs08014-945856909702846_109600/|Hostafrancs (Distrito Sants-Montjuïc. Barcelona Capital)|3|430|barcelona|En buen estado|0.0||Amueblada|1|3|70
483|habitación para chica bien comunicada con metro y autobus. Ideal estudiante (chica) internet wifi y gastos inclu...|25||/alquilar/habitacion-el_carmel08032-945856909685356_109600/|El Carmel (Distrito Horta-Guinardó. Barcelona Capital)|2|320|barcelona|En buen estado|0.0||Amueblada|1|3|67
484|Es una habitación individual exterior disponible a partir del dia 31-10-2019. La duración mínima del contrato es...|25||/alquilar/habitacion-la_dreta_de_eixample08037-945856909703738_109600/|La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital)|1|500|barcelona|0|0.0||Amueblada|2|3|120
485|Es una habitación doble exterior disponible a partir del dia 19-11-2010. El tamaño de la habitación es grande,  ...|18||/alquilar/habitacion-sant_andreu_la_sagrera08027-945856909703704_109600/|La Sagrera (Distrito Sant Andreu. Barcelona Capital)|1|300|barcelona|0|0.0||Amueblada|1|3|75
486|Es una habitación doble  disponible a partir del dia 01-11-2019. La duración mínima del contrato es 2 meses. El ...|18||/alquilar/habitacion-eixample_sant_antoni08015-945856909701298_109600/|Sant Antoni (Distrito Eixample. Barcelona Capital)|2|650|barcelona|0|0.0||Amueblada|1|3|86
487|Master/student apartment 3 rooms to rent in a charming apartment. Room of 250 euros. Furnished with big bed, cl...|22|Chicas|/alquilar/habitacion-sant_gervasi_galvany08006-945856908779198_109600/|Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital)|1|425|barcelona|En buen estado|0.0||Amueblada|1|4|70
488|Es una habitación doble exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es 1 me...|18||/alquilar/habitacion-sant_quirze_del_valles_centro_urbano-945856909680448_109600/|Sant Quirze del Vallès|1|550|barcelona|A estrenar|0.0||Amueblada|3|4|200
489|Master/student apartment 3 rooms to rent in a charming apartment. Room of 250 euros. Furnished with big bed, cl...|22|Chicas|/alquilar/habitacion-sant_gervasi_galvany08006-945856908750992_109600/|Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital)|1|275|barcelona|En buen estado|0.0||Amueblada|1|4|70
490|Es una habitación individual exterior disponible a partir del dia 11-11-2019. La duración mínima del contrato es...|25||/alquilar/habitacion-la_florida_les_planes08905-945856909693448_109600/|La Florida-Les Planes (L'Hospitalet de Llobregat)|1|395|barcelona|0|0.0||Amueblada|1|3|70
491|Es una habitación individual  disponible a partir del dia 01-11-2019. La duración mínima del contrato es 4 Meses...|27||/alquilar/habitacion-eixample_sant_antoni08015-945856909702190_109600/|Sant Antoni (Distrito Eixample. Barcelona Capital)|2|420|barcelona|0|0.0||Amueblada|2|4|100
492|Es una habitación individual exterior disponible a partir del dia 30-10-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-el_guinardo08032-945856909702406_109600/|El Guinardó (Distrito Horta-Guinardó. Barcelona Capital)|1|500|barcelona|En buen estado|0.0||Amueblada|1|2|120
493|Es una habitación individual  disponible a partir del dia 10-11-2019. La duración mínima del contrato es 2 meses...|18||/alquilar/habitacion-estruch_eixample-945856909706479_109600/|Estruch-Eixample (El Prat de Llobregat)|2|350|barcelona|En buen estado|0.0||Amueblada|2|4|100
494|Es una habitación doble exterior disponible a partir del dia 14-10-2019. La duración mínima del contrato es 4 Me...|18||/alquilar/habitacion-vista_alegre_can_vinader-945856909698793_109600/|Vista Alegre-Can Vinader (Castelldefels)|3|500|barcelona|En buen estado|0.0||Amueblada|2|4|120
495|Es una habitación doble exterior disponible a partir del dia 01-09-2019. El tamaño de la habitación es mediana, ...|18||/alquilar/habitacion-sants_badal-945856909685949_109600/|Sants-Badal (Distrito Sants-Montjuïc. Barcelona Capital)|3|540|barcelona|A estrenar|0.0||Amueblada|2|4|105
496|Es una habitación doble  disponible a partir del dia 01-11-2019. La duración mínima del contrato es 5 Meses. El ...|21||/alquilar/habitacion-la_sagrada_familia08013-945856909702547_109600/|La Sagrada Família (Distrito Eixample. Barcelona Capital)|3|420|barcelona|En buen estado|0.0||Amueblada|1|1|90
497|Es una habitación individual  disponible a partir del dia 15-07-2019. La duración mínima del contrato es Más de ...|20|Chicas|/alquilar/habitacion-sant_cugat_del_valles_centre08172-945856909667572_109600/|Centre (Sant Cugat del Vallès)|1|360|barcelona|0|0.0||Amueblada|1|3|70
498|Alquilo habitación luminosa con cama de matrimonio, espaciosa, totalmente amueblada en Horta. Limpieza, tranquil...|18|Chicos|/alquilar/habitacion-el_carmel08032-945856909696531_109600/|El Carmel (Distrito Horta-Guinardó. Barcelona Capital)|2|400|barcelona|En buen estado|0.0||Amueblada|1|3|100
499|Es una habitación individual exterior disponible a partir del dia 01-10-2019. El tamaño de la habitación es medi...|18||/alquilar/habitacion-ciutat_vella_la_barceloneta08003-945856909687561_109600/|La Barceloneta (Distrito Ciutat Vella. Barcelona Capital)|2|550|barcelona|0|0.0||Amueblada|1|3|45
500|Es una habitación individual exterior disponible a partir del dia 30-09-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-lluminetes-945856909664846_109600/|Lluminetes (Castelldefels)|3|500|barcelona|En buen estado|0.0||Amueblada|2|4|120
501|Es una habitación doble exterior disponible a partir del dia 01-01-2020. La duración mínima del contrato es 5 Me...|18|Chicas|/alquilar/habitacion-nou_barris_ciutat_meridiana-945856909294787_109600/|Ciutat Meridiana (Distrito Nou Barris. Barcelona Capital)|3|300|barcelona|A estrenar|0.0||Amueblada|1|3|60
502|Es una habitación individual  disponible a partir del dia 16-10-2019. El tamaño de la habitación es grande,  con...|18|Chicos|/alquilar/habitacion-el_barri_gotic08002-945856909699680_109600/|El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital)|1|475|barcelona|0|0.0||Amueblada|3|1|60
503|Es una habitación individual  disponible a partir del dia 21-10-2019. La duración mínima del contrato es 1 mes. ...|20||/alquilar/habitacion-el_poble_sec08004-945856909700393_109600/|El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital)|1|350|barcelona|En buen estado|0.0||Amueblada|1|3|80
504|Es una habitación doble exterior disponible a partir del dia 26-06-2019. La duración mínima del contrato es 3 me...|20||/alquilar/habitacion-el_putxet_el_farro08022-945856909607565_109600/|El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital)|1|440|barcelona|En buen estado|0.0||Amueblada|1|2|140
505|Es una habitación individual exterior disponible a partir del dia 01-01-2020. La duración mínima del contrato es...|18|Chicas|/alquilar/habitacion-sant_marti_la_verneda_la_pau08020-945856909658547_109600/|La Verneda-La Pau (Distrito Sant Martí. Barcelona Capital)|4|450|barcelona|0|0.0||Amueblada|2|4|80
506|Es una habitación individual  disponible a partir del dia 06-10-2019. La duración mínima del contrato es 5 Meses...|18|Chicas|/alquilar/habitacion-el_baix_guinardo08024-945856909694806_109600/|El Baix Guinardó (Distrito Horta-Guinardó. Barcelona Capital)|2|400|barcelona|En buen estado|0.0||Amueblada|1|3|65
507|Es una habitación individual exterior disponible a partir del dia 20-07-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-la_nova_esquerra_de_eixample08015-945856909668850_109600/|La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital)|2|350|barcelona|En buen estado|0.0||Amueblada|1|4|90
508|Es una habitación individual exterior disponible a partir del dia 01-12-2019. La duración mínima del contrato es...|18|Chicas|/alquilar/habitacion-centre_sanfeliu_sant_josep08901-945856909700375_109600/|Centre-Sanfeliu-Sant Josep (L'Hospitalet de Llobregat)|2|360|barcelona|En buen estado|0.0||Amueblada|2|3|120
509|Es una habitación doble  disponible a partir del dia 21-10-2019. La duración mínima del contrato es 3 meses. El ...|24||/alquilar/habitacion-sant_joan_despi_centro_urbano08970-945856909701326_109600/|Sant Joan Despí|1|400|barcelona|En buen estado|0.0||Amueblada|2|3|110
510|Es una habitación individual  disponible a partir del dia 20-06-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-sant_cugat_del_valles_centre08172-945856909663661_109600/|Centre (Sant Cugat del Vallès)|3|450|barcelona|A estrenar|0.0||Amueblada|2|4|105
511|Es una habitación individual  disponible a partir del dia 01-09-2019. La duración mínima del contrato es 2 meses...|22||/alquilar/habitacion-la_florida_les_planes08905-945856909619106_109600/|La Florida-Les Planes (L'Hospitalet de Llobregat)|1|350|barcelona|En buen estado|0.0||Amueblada|1|3|80
512|Es una habitación individual  disponible a partir del dia 27-08-2019. La duración mínima del contrato es 4 Meses...|20|Chicas|/alquilar/habitacion-la_maternitat_sant_ramon08028-945856909663918_109600/|La Maternitat-Sant Ramon (Distrito Les Corts. Barcelona Capital)|2|330|barcelona|0|0.0||Amueblada|1|3|75
513|Es una habitación individual  disponible a partir del dia 01-08-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-la_guineueta08042-945856909670377_109600/|La Guineueta (Distrito Nou Barris. Barcelona Capital)|3|350|barcelona|0|0.0||Amueblada|2|3|80
514|Es una habitación individual  disponible a partir del dia 31-10-2019. La duración mínima del contrato es 5 Meses...|25|Chicas|/alquilar/habitacion-la_prosperitat08016-945856909703743_109600/|La Prosperitat (Distrito Nou Barris. Barcelona Capital)|2|280|barcelona|0|0.0||Amueblada|1|3|65
515|Es una habitación individual  disponible a partir del dia 01-11-2019. El tamaño de la habitación es mediana,  co...|18||/alquilar/habitacion-la_prosperitat08016-945856909602685_109600/|La Prosperitat (Distrito Nou Barris. Barcelona Capital)|1|350|barcelona|En buen estado|0.0||Amueblada|2|3|80
516|Es una habitación doble  disponible a partir del dia 01-08-2019. La duración mínima del contrato es 1 mes. El ta...|18||/alquilar/habitacion-el_barri_gotic08002-945856909654350_109600/|El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital)|5|550|barcelona|0|0.0||Amueblada|2|1|100
517|Es una habitación doble  disponible a partir del dia 05-10-2019. La duración máxima del contrato es Más de 5 mes...|18|Chicas|/alquilar/habitacion-vilapicina_la_torre_llobeta08027-945856909696698_109600/|Vilapicina-La Torre Llobeta (Distrito Nou Barris. Barcelona Capital)|3|350|barcelona|En buen estado|0.0||Amueblada|2|3|95
518|Es una habitación doble exterior disponible a partir del dia 15-10-2019. El tamaño de la habitación es mediana, ...|25||/alquilar/habitacion-eixample_centre_barri_antic-945856909695708_109600/|L'Eixample Centre-Barri Antic (Viladecans)|2|400|barcelona|En buen estado|0.0||Amueblada|2|2|100
519|Es una habitación doble exterior disponible a partir del dia 02-11-2019. La duración mínima del contrato es 3 me...|22||/alquilar/habitacion-els_molins_poble_sec_pins_vens-945856909703985_109600/|Els Molins-Poble Sec-Pins Vens (Sitges)|1|390|barcelona|0|0.0||Amueblada|1|4|70
520|Es una habitación individual exterior disponible a partir del dia 01-11-2019. La duración mínima del contrato es...|25||/alquilar/habitacion-santa_coloma_de_cervello_centro_urbano-945856909688833_109600/|Santa Coloma de Cervelló|3|310|barcelona|En buen estado|0.0||Amueblada|1|4|95
521|Es una habitación individual exterior disponible a partir del dia 01-07-2019. La duración mínima del contrato es...|20||/alquilar/habitacion-sant_marti_el_poblenou08019-945856909667503_109600/|El Poblenou (Distrito Sant Martí. Barcelona Capital)|1|550|barcelona|En buen estado|0.0||Amueblada|2|3|80
522|Es una habitación doble exterior disponible a partir del dia 05-08-2019. El tamaño de la habitación es mediana, ...|18||/alquilar/habitacion-el_baix_guinardo08025-945856909678578_109600/|El Baix Guinardó (Distrito Horta-Guinardó. Barcelona Capital)|1|650|barcelona|0|0.0||Amueblada|1|2|70
523|Es una habitación individual  disponible a partir del dia 01-08-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-la_vila_de_gracia08012-945856909668784_109600/|La Vila de Gràcia (Distrito Gràcia. Barcelona Capital)|3|500|barcelona|0|0.0||Amueblada|3|4|150
524|Es una habitación individual  disponible a partir del dia 27-09-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-el_putxet_el_farro08023-945856909688770_109600/|El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital)|2|450|barcelona|En buen estado|0.0||Amueblada|1|2|60
525|Es una habitación doble exterior disponible a partir del dia 09-09-2019. El tamaño de la habitación es grande,  ...|18|Chicas|/alquilar/habitacion-santa_perpetua_de_mogoda_centro_urbano-945856909688254_109600/|Santa Perpètua de Mogoda|1|300|barcelona|En buen estado|0.0||Amueblada|2|3|84
526|Room to rent in a house of Sant Cugat, neighborhood of La Floresta. 20 minutes from the centre of Barcelona and ...|30||/alquilar/habitacion-eixample_torreblanca08172-945856909658244_109600/|L'Eixample-Torreblanca (Sant Cugat del Vallès)|1|500|barcelona|0|0.0||Amueblada|1|1|30
527|Es una habitación individual  disponible a partir del dia 12-09-2019. La duración mínima del contrato es 2 meses...|18|Chicas|/alquilar/habitacion-les_torres_ca_nalzamora-945856909689571_109600/|Les Torres-Ca n'Alzamora (Rubí)|2|300|barcelona|0|0.0||Amueblada|1|1|70
528|Es una habitación individual  disponible a partir del dia 01-12-2019. La duración mínima del contrato es 3 meses...|23|Chicas|/alquilar/habitacion-la_sagrada_familia08025-945856909695966_109600/|La Sagrada Família (Distrito Eixample. Barcelona Capital)|2|430|barcelona|En buen estado|0.0||Amueblada|1|3|80
529|Es una habitación doble exterior disponible a partir del dia 26-07-2017. La duración mínima del contrato es 1 me...|18|Chicas|/alquilar/habitacion-bigues-945856909692829_109600/|Bigues (Bigues i Riells)|2|450|barcelona|0|0.0||Amueblada|3|3|280
530|Es una habitación individual  disponible a partir del dia 03-07-2018. La duración mínima del contrato es 3 meses...|18||/alquilar/habitacion-eixample_sant_antoni08015-945856909518441_109600/|Sant Antoni (Distrito Eixample. Barcelona Capital)|1|200|barcelona|En buen estado|0.0||Amueblada|1|4|60
531|Es una habitación individual exterior disponible a partir del dia 02-12-2019. La duración mínima del contrato es...|25|Chicas|/alquilar/habitacion-sant_gervasi_galvany08021-945856909630669_109600/|Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital)|1|450|barcelona|En buen estado|0.0||Amueblada|1|3|125
532|Es una habitación individual exterior disponible a partir del dia 14-10-2019. La duración mínima del contrato es...|20||/alquilar/habitacion-caputxins_santa_clara_hospital-945856909698094_109600/|Caputxins-Santa Clara-Hospital (Vic)|5|330|barcelona|En buen estado|0.0||Amueblada|2|5|120
533|Es una habitación doble  disponible a partir del dia 27-08-2019. La duración mínima del contrato es 4 Meses. El ...|18||/alquilar/habitacion-la_maternitat_sant_ramon08028-945856909627413_109600/|La Maternitat-Sant Ramon (Distrito Les Corts. Barcelona Capital)|2|400|barcelona|En buen estado|0.0||Amueblada|1|4|94
534|Es una habitación individual exterior disponible a partir del dia 25-10-2019. El tamaño de la habitación es gran...|18|Chicas|/alquilar/habitacion-malgrat_de_mar_centro_urbano-945856909695715_109600/|Malgrat de Mar|1|350|barcelona|En buen estado|0.0||Amueblada|2|3|110
535|Es una habitación individual exterior disponible a partir del dia 01-01-2020. La duración mínima del contrato es...|18|Chicas|/alquilar/habitacion-sants_montjuic_sants08028-945856909697254_109600/|Sants (Distrito Sants-Montjuïc. Barcelona Capital)|1|450|barcelona|0|0.0||Amueblada|1|2|60
536|Es una habitación doble  disponible a partir del dia 01-06-2019. La duración mínima del contrato es 2 meses. El ...|20||/alquilar/habitacion-antiga_esquerra_de_eixample08011-945856909653701_109600/|L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital)|2|700|barcelona|En buen estado|0.0||Amueblada|2|4|150
537|Es una habitación doble exterior disponible a partir del dia 25-06-2019. La duración mínima del contrato es 1 me...|18||/alquilar/habitacion-el_clot08018-945856909528331_109600/|El Clot (Distrito Sant Martí. Barcelona Capital)|2|400|barcelona|En buen estado|0.0||Amueblada|1|4|95
538|Es una habitación individual exterior disponible a partir del dia 22-07-2019. La duración mínima del contrato es...|20|Chicas|/alquilar/habitacion-la_sagrada_familia08025-945856909663915_109600/|La Sagrada Família (Distrito Eixample. Barcelona Capital)|3|450|barcelona|En buen estado|0.0||Amueblada|2|4|85
539|Es una habitación doble exterior disponible a partir del dia 14-10-2019. La duración mínima del contrato es 4 Me...|18||/alquilar/habitacion-vista_alegre_can_vinader-945856909588323_109600/|Vista Alegre-Can Vinader (Castelldefels)|3|500|barcelona|En buen estado|0.0||Amueblada|2|4|120
540|"Habitación ideal para descansar, estudiar y estar cerca del trabajo a menos de 20' de barcelona centro.Gastos ..."|18||/alquilar/habitacion-aeroport_del_prat-945856908013308_109600/|Sant Cosme-La Granja (El Prat de Llobregat)|2|350|barcelona|En buen estado|0.0||Amueblada|1|3|90
541|Es una habitación doble exterior disponible a partir del dia 08-06-2019. La duración mínima del contrato es 1 me...|25||/alquilar/habitacion-les_corts_barrio08029-945856909659558_109600/|Les Corts (Distrito Les Corts. Barcelona Capital)|4|540|barcelona|En buen estado|0.0||Amueblada|2|4|100
542|Es una habitación individual exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-el_camp_en_grassot_gracia_nova08024-945856909682250_109600/|El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital)|2|470|barcelona|En buen estado|0.0||Amueblada|1|3|75
543|Es una habitación individual exterior disponible a partir del dia 01-09-2019. El tamaño de la habitación es medi...|20||/alquilar/habitacion-santa_coloma_de_cervello_centro_urbano-945856909686288_109600/|Santa Coloma de Cervelló|1|299|barcelona|En buen estado|0.0||Amueblada|1|3|75
544|Es una habitación individual exterior disponible a partir del dia 18-11-2001. La duración mínima del contrato es...|20||/alquilar/habitacion-el_poble_sec08004-945856909665939_109600/|El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital)|2|425|barcelona|0|0.0||Amueblada|2|3|85
545|Es una habitación doble  disponible a partir del dia 01-10-2019. La duración mínima del contrato es Más de 5 mes...|30||/alquilar/habitacion-eixample_sant_antoni08015-945856909677119_109600/|Sant Antoni (Distrito Eixample. Barcelona Capital)|1|450|barcelona|En buen estado|0.0||0|2|3|115
546|Es una habitación individual exterior disponible a partir del dia 10-06-2019. El tamaño de la habitación es medi...|18|Chicas|/alquilar/habitacion-creu_de_barbera_santa_pau_sud08210-945856909656956_109600/|La Creu de Barberà (Sabadell)|1|350|barcelona|En buen estado|0.0||Amueblada|1|2|80
547|Es una habitación individual exterior disponible a partir del dia 04-10-2019. La duración mínima del contrato es...|20||/alquilar/habitacion-centre_can_mariner08922-945856909696276_109600/|Centre-Can Mariner (Santa Coloma de Gramenet)|1|300|barcelona|En buen estado|0.0||Amueblada|1|3|90
548|Es una habitación individual exterior disponible a partir del dia 23-09-2019. La duración mínima del contrato es...|40||/alquilar/habitacion-gracia_la_salut08024-945856909693081_109600/|La Salut (Distrito Gràcia. Barcelona Capital)|1|450|barcelona|En buen estado|0.0||Amueblada|1|2|70
549|Es una habitación doble exterior disponible a partir del dia 01-10-2018. La duración mínima del contrato es 2 me...|18|Chicas|/alquilar/habitacion-el_clot08026-945856909655836_109600/|El Clot (Distrito Sant Martí. Barcelona Capital)|1|430|barcelona|En buen estado|0.0||Amueblada|1|2|64
550|Es una habitación doble exterior disponible a partir del dia 17-12-2018. El tamaño de la habitación es grande,  ...|18||/alquilar/habitacion-el_besos_el_maresme08019-945856909608182_109600/|El Besòs-El Maresme (Distrito Sant Martí. Barcelona Capital)|1|600|barcelona|En buen estado|0.0||Amueblada|1|2|75
551|Es una habitación individual exterior disponible a partir del dia 06-08-2019. El tamaño de la habitación es pequ...|18||/alquilar/habitacion-la_sagrada_familia08025-945856909678946_109600/|La Sagrada Família (Distrito Eixample. Barcelona Capital)|1|380|barcelona|0|0.0||Amueblada|1|1|75
552|Es una habitación doble  disponible a partir del dia 01-08-2019. La duración mínima del contrato es 2 meses. El ...|18||/alquilar/habitacion-passeig_i_rodalies_carretera_de_vic08241-945856909677460_109600/|Passeig i Rodalies-Carretera de Vic (Manresa)|1|270|barcelona|En buen estado|0.0||Amueblada|2|6|100
553|Es una habitación individual exterior disponible a partir del dia 01-08-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-el_guinardo08041-945856909673220_109600/|El Guinardó (Distrito Horta-Guinardó. Barcelona Capital)|1|385|barcelona|0|0.0||0|1|3|70
554|Es una habitación individual exterior disponible a partir del dia 20-08-2019. La duración mínima del contrato es...|18|Chicas|/alquilar/habitacion-el_besos_el_maresme08019-945856909678264_109600/|El Besòs-El Maresme (Distrito Sant Martí. Barcelona Capital)|1|450|barcelona|En buen estado|0.0||Amueblada|1|3|96
555|Es una habitación individual exterior disponible a partir del dia 21-10-2019. La duración mínima del contrato es...|25||/alquilar/habitacion-el_bonaire-945856909697829_109600/|El Bonaire (Santa Eulàlia de Ronçana)|1|350|barcelona|0|0.0||Amueblada|1|4|115
556|Es una habitación doble  disponible a partir del dia 01-10-2019. El tamaño de la habitación es grande,  con fian...|18||/alquilar/habitacion-sant_cugat_del_valles_centre08172-945856909691375_109600/|Centre (Sant Cugat del Vallès)|1|350|barcelona|En buen estado|0.0||Amueblada|1|3|80
557|Es una habitación doble exterior disponible a partir del dia 01-07-2019. La duración mínima del contrato es 1 me...|18||/alquilar/habitacion-esplugues_de_llobregat_centro_urbano08950-945856909652635_109600/|Esplugues de Llobregat|2|500|barcelona|0|0.0||Amueblada|2|3|90
558|Habitación en hermoso piso, agradable ambiente. Baño de uso exclusivo para las dos habitaciones a alquilar|18||/alquilar/habitacion-barri_de_mar_ribes_roges_placa_de_la_sardana-945856909675814_109600/|Barri de Mar-Ribes Roges-Plaça de la Sardana (Vilanova i la Geltrú)|2|300|barcelona|En buen estado|0.0||Amueblada|2|4|130
559|Es una habitación individual  disponible a partir del dia 01-09-2019. El tamaño de la habitación es pequeña,  si...|25|Chicas|/alquilar/habitacion-ordal-945856909673757_109600/|Ordal (Subirats)|1|290|barcelona|En buen estado|0.0||Amueblada|2|3|100
560|Es una habitación individual exterior disponible a partir del dia 01-11-2016. El tamaño de la habitación es medi...|20||/alquilar/habitacion-estruch_eixample-945856909656595_109600/|Estruch-Eixample (El Prat de Llobregat)|2|380|barcelona|En buen estado|0.0||Amueblada|1|3|70
561|Es una habitación individual exterior disponible a partir del dia 16-07-2019. La duración mínima del contrato es...|23|Chicas|/alquilar/habitacion-els_canyars_el_castell_i_poble_vell-945856909671872_109600/|Els Canyars-El Castell i Poble Vell (Castelldefels)|3|470|barcelona|En buen estado|0.0||Amueblada|2|4|170
562|Es una habitación individual  disponible a partir del dia 05-08-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-antiga_esquerra_de_eixample08011-945856909678604_109600/|L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital)|2|600|barcelona|0|0.0||Amueblada|2|4|120
563|Es una habitación doble exterior disponible a partir del dia 23-07-2019. La duración mínima del contrato es 1 me...|29||/alquilar/habitacion-sant_marti_el_poblenou08005-945856909654615_109600/|El Poblenou (Distrito Sant Martí. Barcelona Capital)|1|450|barcelona|En buen estado|0.0||Amueblada|2|3|110
564|Habitación con luz natural todo el día (7º piso), en el centro y delante de zona peatonal. Internet Wifi de alta...|20||/alquilar/habitacion-eixample_sant_antoni08015-945856909680145_109600/|Sant Antoni (Distrito Eixample. Barcelona Capital)|2|450|barcelona|En buen estado|0.0||Amueblada|1|3|85
565|Es una habitación individual exterior disponible a partir del dia 05-06-2019. El tamaño de la habitación es medi...|18||/alquilar/habitacion-sant_andreu_la_sagrera08027-945856909658365_109600/|La Sagrera (Distrito Sant Andreu. Barcelona Capital)|2|380|barcelona|En buen estado|0.0||Amueblada|1|3|92
566|Es una habitación doble  disponible a partir del dia 30-05-2019. El tamaño de la habitación es mediana,  con fia...|18||/alquilar/habitacion-antiga_esquerra_de_eixample08036-945856909656635_109600/|L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital)|2|525|barcelona|En buen estado|0.0||Amueblada|1|3|85
